Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birth_Place,Birthdate,Collage,Experience,Height,Team,Weight,BMI,PTSPM,FGMPM,FGAPM,TPMPM,TPAPM,DREBPM,ASTPM,STLPM,BLKPM,OREBPM,Pos
AJ Price,26,324,133,51,137,37.2,15,57,26.3,16,24,66.7,6,26,32,46,7,0,14,15,110,3.29,0.5,29,us,10/7/86,University of Connecticut,5,185,PHO,81.45,23.79839299,0.41,0.157,0.423,0.046,0.176,0.08,0.142,0.022,0,0.019,PG
Aaron Brooks,82,1885,954,344,817,42.1,121,313,38.7,145,174,83.3,32,134,166,261,54,15,157,189,791,1.66,0.34,30,us,1/14/85,University of Oregon,6,180,CHI,72.45,22.36111111,0.506,0.182,0.433,0.064,0.166,0.071,0.138,0.029,0.008,0.017,PG
Aaron Gordon,47,797,243,93,208,44.7,13,48,27.1,44,61,72.1,46,123,169,33,21,22,38,83,318,0.87,0.55,20,us,9/16/95,University of Arizona,0,202.5,ORL,99,24.14266118,0.305,0.117,0.261,0.016,0.06,0.154,0.041,0.026,0.028,0.058,PF
Adreian Payne,32,740,213,91,220,41.4,1,9,11.1,30,46,65.2,48,114,162,30,19,9,44,88,244,0.68,0.43,24,us,2/19/91,Michigan State University,0,205,ATL,106.65,25.37775134,0.288,0.123,0.297,0.001,0.012,0.154,0.041,0.026,0.012,0.065,PF
Al Horford,76,2318,1156,519,965,53.8,11,36,30.6,107,141,75.9,131,413,544,244,68,98,100,121,1530,2.44,0.68,29,do,6/3/86,University of Florida,7,205,ATL,110.25,26.2343843,0.499,0.224,0.416,0.005,0.016,0.178,0.105,0.029,0.042,0.057,C
Al Jefferson,65,1992,1082,486,1010,48.1,2,5,40,108,165,65.5,99,449,548,113,47,84,68,139,1225,1.66,0.69,30,us,1/4/85,,10,205,CHA,130.05,30.94586556,0.543,0.244,0.507,0.001,0.003,0.225,0.057,0.024,0.042,0.05,C
Alan Anderson,74,1744,545,195,440,44.3,73,210,34.8,82,101,81.2,31,173,204,83,56,5,60,148,569,1.38,0.93,33,us,10/16/82,Michigan State University,5,195,NJN,99,26.03550296,0.313,0.112,0.252,0.042,0.12,0.099,0.048,0.032,0.003,0.018,SG
Alec Burks,27,899,374,121,300,40.3,26,68,38.2,106,129,82.2,19,95,114,82,17,5,52,64,338,1.58,0.33,24,us,7/20/91,University of Colorado,3,195,UTA,96.3,25.32544379,0.416,0.135,0.334,0.029,0.076,0.106,0.091,0.019,0.006,0.021,SG
Alex Kirk,5,14,4,1,4,25,0,0,0,2,2,100,1,0,1,1,0,0,0,1,3,0,0,24,us,11/14/91,University of New Mexico,0,210,CLE,110.25,25,0.286,0.071,0.286,0,0,0,0.071,0,0,0.071,C
Alex Len,69,1518,432,179,353,50.7,1,3,33.3,73,104,70.2,142,312,454,32,34,105,74,213,778,0.43,0.46,22,ua,6/16/93,University of Maryland,1,212.5,PHO,117,25.9100346,0.285,0.118,0.233,0.001,0.002,0.206,0.021,0.022,0.069,0.094,C
